gene,1st tool,2nd tool,frequencies method,conservation method,haplogroup,#diffs
COX1,clustalo,mafft_auto,unweighted,entropy,L0,0
COX1,clustalo,mafft_auto,unweighted,entropy,L1,0
COX1,clustalo,mafft_auto,unweighted,entropy,L2,0
COX1,clustalo,mafft_auto,unweighted,entropy,L3,0
COX1,clustalo,mafft_auto,unweighted,entropy,L4,0
COX1,clustalo,mafft_auto,unweighted,entropy,L5,0
COX1,clustalo,mafft_auto,unweighted,entropy,L6,0
COX1,clustalo,mafft_auto,unweighted,entropy,M,0
COX1,clustalo,mafft_auto,unweighted,entropy,C,0
COX1,clustalo,mafft_auto,unweighted,entropy,E,0
COX1,clustalo,mafft_auto,unweighted,entropy,G,0
COX1,clustalo,mafft_auto,unweighted,entropy,Q,0
COX1,clustalo,mafft_auto,unweighted,entropy,Z,0
COX1,clustalo,mafft_auto,unweighted,entropy,D,0
COX1,clustalo,mafft_auto,unweighted,entropy,N,0
COX1,clustalo,mafft_auto,unweighted,entropy,A,0
COX1,clustalo,mafft_auto,unweighted,entropy,I,0
COX1,clustalo,mafft_auto,unweighted,entropy,O,0
COX1,clustalo,mafft_auto,unweighted,entropy,S,0
COX1,clustalo,mafft_auto,unweighted,entropy,W,0
COX1,clustalo,mafft_auto,unweighted,entropy,X,0
COX1,clustalo,mafft_auto,unweighted,entropy,Y,0
COX1,clustalo,mafft_auto,unweighted,entropy,R0,0
COX1,clustalo,mafft_auto,unweighted,entropy,B6,0
COX1,clustalo,mafft_auto,unweighted,entropy,F,0
COX1,clustalo,mafft_auto,unweighted,entropy,J,0
COX1,clustalo,mafft_auto,unweighted,entropy,P,0
COX1,clustalo,mafft_auto,unweighted,entropy,K,0
COX1,clustalo,mafft_auto,unweighted,entropy,B,0
COX1,clustalo,mafft_auto,unweighted,entropy,HV,0
COX1,clustalo,mafft_auto,unweighted,entropy,T,0
COX1,clustalo,mafft_auto,unweighted,entropy,R,0
COX1,clustalo,mafft_auto,unweighted,entropy,H,0
COX1,clustalo,mafft_auto,unweighted,entropy,V,0
COX1,clustalo,mafft_auto,unweighted,entropy,U,0
COX1,clustalo,mafft_auto,unweighted,variance,L0,0
COX1,clustalo,mafft_auto,unweighted,variance,L1,0
COX1,clustalo,mafft_auto,unweighted,variance,L2,0
COX1,clustalo,mafft_auto,unweighted,variance,L3,0
COX1,clustalo,mafft_auto,unweighted,variance,L4,0
COX1,clustalo,mafft_auto,unweighted,variance,L5,0
COX1,clustalo,mafft_auto,unweighted,variance,L6,0
COX1,clustalo,mafft_auto,unweighted,variance,M,0
COX1,clustalo,mafft_auto,unweighted,variance,C,0
COX1,clustalo,mafft_auto,unweighted,variance,E,0
COX1,clustalo,mafft_auto,unweighted,variance,G,0
COX1,clustalo,mafft_auto,unweighted,variance,Q,0
COX1,clustalo,mafft_auto,unweighted,variance,Z,0
COX1,clustalo,mafft_auto,unweighted,variance,D,0
COX1,clustalo,mafft_auto,unweighted,variance,N,0
COX1,clustalo,mafft_auto,unweighted,variance,A,0
COX1,clustalo,mafft_auto,unweighted,variance,I,0
COX1,clustalo,mafft_auto,unweighted,variance,O,0
COX1,clustalo,mafft_auto,unweighted,variance,S,0
COX1,clustalo,mafft_auto,unweighted,variance,W,0
COX1,clustalo,mafft_auto,unweighted,variance,X,0
COX1,clustalo,mafft_auto,unweighted,variance,Y,0
COX1,clustalo,mafft_auto,unweighted,variance,R0,0
COX1,clustalo,mafft_auto,unweighted,variance,B6,0
COX1,clustalo,mafft_auto,unweighted,variance,F,0
COX1,clustalo,mafft_auto,unweighted,variance,J,0
COX1,clustalo,mafft_auto,unweighted,variance,P,0
COX1,clustalo,mafft_auto,unweighted,variance,K,0
COX1,clustalo,mafft_auto,unweighted,variance,B,0
COX1,clustalo,mafft_auto,unweighted,variance,HV,0
COX1,clustalo,mafft_auto,unweighted,variance,T,0
COX1,clustalo,mafft_auto,unweighted,variance,R,0
COX1,clustalo,mafft_auto,unweighted,variance,H,0
COX1,clustalo,mafft_auto,unweighted,variance,V,0
COX1,clustalo,mafft_auto,unweighted,variance,U,0
COX1,clustalo,mafft_auto,weighted,entropy,L0,0
COX1,clustalo,mafft_auto,weighted,entropy,L1,0
COX1,clustalo,mafft_auto,weighted,entropy,L2,0
COX1,clustalo,mafft_auto,weighted,entropy,L3,0
COX1,clustalo,mafft_auto,weighted,entropy,L4,0
COX1,clustalo,mafft_auto,weighted,entropy,L5,0
COX1,clustalo,mafft_auto,weighted,entropy,L6,0
COX1,clustalo,mafft_auto,weighted,entropy,M,0
COX1,clustalo,mafft_auto,weighted,entropy,C,0
COX1,clustalo,mafft_auto,weighted,entropy,E,0
COX1,clustalo,mafft_auto,weighted,entropy,G,0
COX1,clustalo,mafft_auto,weighted,entropy,Q,0
COX1,clustalo,mafft_auto,weighted,entropy,Z,0
COX1,clustalo,mafft_auto,weighted,entropy,D,0
COX1,clustalo,mafft_auto,weighted,entropy,N,0
COX1,clustalo,mafft_auto,weighted,entropy,A,0
COX1,clustalo,mafft_auto,weighted,entropy,I,0
COX1,clustalo,mafft_auto,weighted,entropy,O,0
COX1,clustalo,mafft_auto,weighted,entropy,S,0
COX1,clustalo,mafft_auto,weighted,entropy,W,0
COX1,clustalo,mafft_auto,weighted,entropy,X,0
COX1,clustalo,mafft_auto,weighted,entropy,Y,0
COX1,clustalo,mafft_auto,weighted,entropy,R0,0
COX1,clustalo,mafft_auto,weighted,entropy,B6,0
COX1,clustalo,mafft_auto,weighted,entropy,F,0
COX1,clustalo,mafft_auto,weighted,entropy,J,0
COX1,clustalo,mafft_auto,weighted,entropy,P,0
COX1,clustalo,mafft_auto,weighted,entropy,K,0
COX1,clustalo,mafft_auto,weighted,entropy,B,0
COX1,clustalo,mafft_auto,weighted,entropy,HV,0
COX1,clustalo,mafft_auto,weighted,entropy,T,0
COX1,clustalo,mafft_auto,weighted,entropy,R,0
COX1,clustalo,mafft_auto,weighted,entropy,H,0
COX1,clustalo,mafft_auto,weighted,entropy,V,0
COX1,clustalo,mafft_auto,weighted,entropy,U,0
COX1,clustalo,mafft_auto,weighted,variance,L0,0
COX1,clustalo,mafft_auto,weighted,variance,L1,0
COX1,clustalo,mafft_auto,weighted,variance,L2,0
COX1,clustalo,mafft_auto,weighted,variance,L3,0
COX1,clustalo,mafft_auto,weighted,variance,L4,0
COX1,clustalo,mafft_auto,weighted,variance,L5,0
COX1,clustalo,mafft_auto,weighted,variance,L6,0
COX1,clustalo,mafft_auto,weighted,variance,M,0
COX1,clustalo,mafft_auto,weighted,variance,C,0
COX1,clustalo,mafft_auto,weighted,variance,E,0
COX1,clustalo,mafft_auto,weighted,variance,G,0
COX1,clustalo,mafft_auto,weighted,variance,Q,0
COX1,clustalo,mafft_auto,weighted,variance,Z,0
COX1,clustalo,mafft_auto,weighted,variance,D,0
COX1,clustalo,mafft_auto,weighted,variance,N,0
COX1,clustalo,mafft_auto,weighted,variance,A,0
COX1,clustalo,mafft_auto,weighted,variance,I,0
COX1,clustalo,mafft_auto,weighted,variance,O,0
COX1,clustalo,mafft_auto,weighted,variance,S,0
COX1,clustalo,mafft_auto,weighted,variance,W,0
COX1,clustalo,mafft_auto,weighted,variance,X,0
COX1,clustalo,mafft_auto,weighted,variance,Y,0
COX1,clustalo,mafft_auto,weighted,variance,R0,0
COX1,clustalo,mafft_auto,weighted,variance,B6,0
COX1,clustalo,mafft_auto,weighted,variance,F,0
COX1,clustalo,mafft_auto,weighted,variance,J,0
COX1,clustalo,mafft_auto,weighted,variance,P,0
COX1,clustalo,mafft_auto,weighted,variance,K,0
COX1,clustalo,mafft_auto,weighted,variance,B,0
COX1,clustalo,mafft_auto,weighted,variance,HV,0
COX1,clustalo,mafft_auto,weighted,variance,T,0
COX1,clustalo,mafft_auto,weighted,variance,R,0
COX1,clustalo,mafft_auto,weighted,variance,H,0
COX1,clustalo,mafft_auto,weighted,variance,V,0
COX1,clustalo,mafft_auto,weighted,variance,U,0
COX1,clustalo,mafft_linsi,unweighted,entropy,L0,0
COX1,clustalo,mafft_linsi,unweighted,entropy,L1,0
COX1,clustalo,mafft_linsi,unweighted,entropy,L2,0
COX1,clustalo,mafft_linsi,unweighted,entropy,L3,0
COX1,clustalo,mafft_linsi,unweighted,entropy,L4,0
COX1,clustalo,mafft_linsi,unweighted,entropy,L5,0
COX1,clustalo,mafft_linsi,unweighted,entropy,L6,0
COX1,clustalo,mafft_linsi,unweighted,entropy,M,0
COX1,clustalo,mafft_linsi,unweighted,entropy,C,0
COX1,clustalo,mafft_linsi,unweighted,entropy,E,0
COX1,clustalo,mafft_linsi,unweighted,entropy,G,0
COX1,clustalo,mafft_linsi,unweighted,entropy,Q,0
COX1,clustalo,mafft_linsi,unweighted,entropy,Z,0
COX1,clustalo,mafft_linsi,unweighted,entropy,D,0
COX1,clustalo,mafft_linsi,unweighted,entropy,N,0
COX1,clustalo,mafft_linsi,unweighted,entropy,A,0
COX1,clustalo,mafft_linsi,unweighted,entropy,I,0
COX1,clustalo,mafft_linsi,unweighted,entropy,O,0
COX1,clustalo,mafft_linsi,unweighted,entropy,S,0
COX1,clustalo,mafft_linsi,unweighted,entropy,W,0
COX1,clustalo,mafft_linsi,unweighted,entropy,X,0
COX1,clustalo,mafft_linsi,unweighted,entropy,Y,0
COX1,clustalo,mafft_linsi,unweighted,entropy,R0,0
COX1,clustalo,mafft_linsi,unweighted,entropy,B6,0
COX1,clustalo,mafft_linsi,unweighted,entropy,F,0
COX1,clustalo,mafft_linsi,unweighted,entropy,J,0
COX1,clustalo,mafft_linsi,unweighted,entropy,P,0
COX1,clustalo,mafft_linsi,unweighted,entropy,K,0
COX1,clustalo,mafft_linsi,unweighted,entropy,B,0
COX1,clustalo,mafft_linsi,unweighted,entropy,HV,0
COX1,clustalo,mafft_linsi,unweighted,entropy,T,0
COX1,clustalo,mafft_linsi,unweighted,entropy,R,0
COX1,clustalo,mafft_linsi,unweighted,entropy,H,0
COX1,clustalo,mafft_linsi,unweighted,entropy,V,0
COX1,clustalo,mafft_linsi,unweighted,entropy,U,0
COX1,clustalo,mafft_linsi,unweighted,variance,L0,0
COX1,clustalo,mafft_linsi,unweighted,variance,L1,0
COX1,clustalo,mafft_linsi,unweighted,variance,L2,0
COX1,clustalo,mafft_linsi,unweighted,variance,L3,0
COX1,clustalo,mafft_linsi,unweighted,variance,L4,0
COX1,clustalo,mafft_linsi,unweighted,variance,L5,0
COX1,clustalo,mafft_linsi,unweighted,variance,L6,0
COX1,clustalo,mafft_linsi,unweighted,variance,M,0
COX1,clustalo,mafft_linsi,unweighted,variance,C,0
COX1,clustalo,mafft_linsi,unweighted,variance,E,0
COX1,clustalo,mafft_linsi,unweighted,variance,G,0
COX1,clustalo,mafft_linsi,unweighted,variance,Q,0
COX1,clustalo,mafft_linsi,unweighted,variance,Z,0
COX1,clustalo,mafft_linsi,unweighted,variance,D,0
COX1,clustalo,mafft_linsi,unweighted,variance,N,0
COX1,clustalo,mafft_linsi,unweighted,variance,A,0
COX1,clustalo,mafft_linsi,unweighted,variance,I,0
COX1,clustalo,mafft_linsi,unweighted,variance,O,0
COX1,clustalo,mafft_linsi,unweighted,variance,S,0
COX1,clustalo,mafft_linsi,unweighted,variance,W,0
COX1,clustalo,mafft_linsi,unweighted,variance,X,0
COX1,clustalo,mafft_linsi,unweighted,variance,Y,0
COX1,clustalo,mafft_linsi,unweighted,variance,R0,0
COX1,clustalo,mafft_linsi,unweighted,variance,B6,0
COX1,clustalo,mafft_linsi,unweighted,variance,F,0
COX1,clustalo,mafft_linsi,unweighted,variance,J,0
COX1,clustalo,mafft_linsi,unweighted,variance,P,0
COX1,clustalo,mafft_linsi,unweighted,variance,K,0
COX1,clustalo,mafft_linsi,unweighted,variance,B,0
COX1,clustalo,mafft_linsi,unweighted,variance,HV,0
COX1,clustalo,mafft_linsi,unweighted,variance,T,0
COX1,clustalo,mafft_linsi,unweighted,variance,R,0
COX1,clustalo,mafft_linsi,unweighted,variance,H,0
COX1,clustalo,mafft_linsi,unweighted,variance,V,0
COX1,clustalo,mafft_linsi,unweighted,variance,U,0
COX1,clustalo,mafft_linsi,weighted,entropy,L0,0
COX1,clustalo,mafft_linsi,weighted,entropy,L1,0
COX1,clustalo,mafft_linsi,weighted,entropy,L2,0
COX1,clustalo,mafft_linsi,weighted,entropy,L3,0
COX1,clustalo,mafft_linsi,weighted,entropy,L4,0
COX1,clustalo,mafft_linsi,weighted,entropy,L5,0
COX1,clustalo,mafft_linsi,weighted,entropy,L6,0
COX1,clustalo,mafft_linsi,weighted,entropy,M,0
COX1,clustalo,mafft_linsi,weighted,entropy,C,0
COX1,clustalo,mafft_linsi,weighted,entropy,E,0
COX1,clustalo,mafft_linsi,weighted,entropy,G,0
COX1,clustalo,mafft_linsi,weighted,entropy,Q,0
COX1,clustalo,mafft_linsi,weighted,entropy,Z,0
COX1,clustalo,mafft_linsi,weighted,entropy,D,0
COX1,clustalo,mafft_linsi,weighted,entropy,N,0
COX1,clustalo,mafft_linsi,weighted,entropy,A,0
COX1,clustalo,mafft_linsi,weighted,entropy,I,0
COX1,clustalo,mafft_linsi,weighted,entropy,O,0
COX1,clustalo,mafft_linsi,weighted,entropy,S,0
COX1,clustalo,mafft_linsi,weighted,entropy,W,0
COX1,clustalo,mafft_linsi,weighted,entropy,X,0
COX1,clustalo,mafft_linsi,weighted,entropy,Y,0
COX1,clustalo,mafft_linsi,weighted,entropy,R0,0
COX1,clustalo,mafft_linsi,weighted,entropy,B6,0
COX1,clustalo,mafft_linsi,weighted,entropy,F,0
COX1,clustalo,mafft_linsi,weighted,entropy,J,0
COX1,clustalo,mafft_linsi,weighted,entropy,P,0
COX1,clustalo,mafft_linsi,weighted,entropy,K,0
COX1,clustalo,mafft_linsi,weighted,entropy,B,0
COX1,clustalo,mafft_linsi,weighted,entropy,HV,0
COX1,clustalo,mafft_linsi,weighted,entropy,T,0
COX1,clustalo,mafft_linsi,weighted,entropy,R,0
COX1,clustalo,mafft_linsi,weighted,entropy,H,0
COX1,clustalo,mafft_linsi,weighted,entropy,V,0
COX1,clustalo,mafft_linsi,weighted,entropy,U,0
COX1,clustalo,mafft_linsi,weighted,variance,L0,0
COX1,clustalo,mafft_linsi,weighted,variance,L1,0
COX1,clustalo,mafft_linsi,weighted,variance,L2,0
COX1,clustalo,mafft_linsi,weighted,variance,L3,0
COX1,clustalo,mafft_linsi,weighted,variance,L4,0
COX1,clustalo,mafft_linsi,weighted,variance,L5,0
COX1,clustalo,mafft_linsi,weighted,variance,L6,0
COX1,clustalo,mafft_linsi,weighted,variance,M,0
COX1,clustalo,mafft_linsi,weighted,variance,C,0
COX1,clustalo,mafft_linsi,weighted,variance,E,0
COX1,clustalo,mafft_linsi,weighted,variance,G,0
COX1,clustalo,mafft_linsi,weighted,variance,Q,0
COX1,clustalo,mafft_linsi,weighted,variance,Z,0
COX1,clustalo,mafft_linsi,weighted,variance,D,0
COX1,clustalo,mafft_linsi,weighted,variance,N,0
COX1,clustalo,mafft_linsi,weighted,variance,A,0
COX1,clustalo,mafft_linsi,weighted,variance,I,0
COX1,clustalo,mafft_linsi,weighted,variance,O,0
COX1,clustalo,mafft_linsi,weighted,variance,S,0
COX1,clustalo,mafft_linsi,weighted,variance,W,0
COX1,clustalo,mafft_linsi,weighted,variance,X,0
COX1,clustalo,mafft_linsi,weighted,variance,Y,0
COX1,clustalo,mafft_linsi,weighted,variance,R0,0
COX1,clustalo,mafft_linsi,weighted,variance,B6,0
COX1,clustalo,mafft_linsi,weighted,variance,F,0
COX1,clustalo,mafft_linsi,weighted,variance,J,0
COX1,clustalo,mafft_linsi,weighted,variance,P,0
COX1,clustalo,mafft_linsi,weighted,variance,K,0
COX1,clustalo,mafft_linsi,weighted,variance,B,0
COX1,clustalo,mafft_linsi,weighted,variance,HV,0
COX1,clustalo,mafft_linsi,weighted,variance,T,0
COX1,clustalo,mafft_linsi,weighted,variance,R,0
COX1,clustalo,mafft_linsi,weighted,variance,H,0
COX1,clustalo,mafft_linsi,weighted,variance,V,0
COX1,clustalo,mafft_linsi,weighted,variance,U,0
COX1,clustalo,mafft_parttree,unweighted,entropy,L0,0
COX1,clustalo,mafft_parttree,unweighted,entropy,L1,0
COX1,clustalo,mafft_parttree,unweighted,entropy,L2,0
COX1,clustalo,mafft_parttree,unweighted,entropy,L3,0
COX1,clustalo,mafft_parttree,unweighted,entropy,L4,0
COX1,clustalo,mafft_parttree,unweighted,entropy,L5,0
COX1,clustalo,mafft_parttree,unweighted,entropy,L6,0
COX1,clustalo,mafft_parttree,unweighted,entropy,M,0
COX1,clustalo,mafft_parttree,unweighted,entropy,C,0
COX1,clustalo,mafft_parttree,unweighted,entropy,E,0
COX1,clustalo,mafft_parttree,unweighted,entropy,G,0
COX1,clustalo,mafft_parttree,unweighted,entropy,Q,0
COX1,clustalo,mafft_parttree,unweighted,entropy,Z,0
COX1,clustalo,mafft_parttree,unweighted,entropy,D,0
COX1,clustalo,mafft_parttree,unweighted,entropy,N,0
COX1,clustalo,mafft_parttree,unweighted,entropy,A,0
COX1,clustalo,mafft_parttree,unweighted,entropy,I,0
COX1,clustalo,mafft_parttree,unweighted,entropy,O,0
COX1,clustalo,mafft_parttree,unweighted,entropy,S,0
COX1,clustalo,mafft_parttree,unweighted,entropy,W,0
COX1,clustalo,mafft_parttree,unweighted,entropy,X,0
COX1,clustalo,mafft_parttree,unweighted,entropy,Y,0
COX1,clustalo,mafft_parttree,unweighted,entropy,R0,0
COX1,clustalo,mafft_parttree,unweighted,entropy,B6,0
COX1,clustalo,mafft_parttree,unweighted,entropy,F,0
COX1,clustalo,mafft_parttree,unweighted,entropy,J,0
COX1,clustalo,mafft_parttree,unweighted,entropy,P,0
COX1,clustalo,mafft_parttree,unweighted,entropy,K,0
COX1,clustalo,mafft_parttree,unweighted,entropy,B,0
COX1,clustalo,mafft_parttree,unweighted,entropy,HV,0
COX1,clustalo,mafft_parttree,unweighted,entropy,T,0
COX1,clustalo,mafft_parttree,unweighted,entropy,R,0
COX1,clustalo,mafft_parttree,unweighted,entropy,H,0
COX1,clustalo,mafft_parttree,unweighted,entropy,V,0
COX1,clustalo,mafft_parttree,unweighted,entropy,U,0
COX1,clustalo,mafft_parttree,unweighted,variance,L0,0
COX1,clustalo,mafft_parttree,unweighted,variance,L1,0
COX1,clustalo,mafft_parttree,unweighted,variance,L2,0
COX1,clustalo,mafft_parttree,unweighted,variance,L3,0
COX1,clustalo,mafft_parttree,unweighted,variance,L4,0
COX1,clustalo,mafft_parttree,unweighted,variance,L5,0
COX1,clustalo,mafft_parttree,unweighted,variance,L6,0
COX1,clustalo,mafft_parttree,unweighted,variance,M,0
COX1,clustalo,mafft_parttree,unweighted,variance,C,0
COX1,clustalo,mafft_parttree,unweighted,variance,E,0
COX1,clustalo,mafft_parttree,unweighted,variance,G,0
COX1,clustalo,mafft_parttree,unweighted,variance,Q,0
COX1,clustalo,mafft_parttree,unweighted,variance,Z,0
COX1,clustalo,mafft_parttree,unweighted,variance,D,0
COX1,clustalo,mafft_parttree,unweighted,variance,N,0
COX1,clustalo,mafft_parttree,unweighted,variance,A,0
COX1,clustalo,mafft_parttree,unweighted,variance,I,0
COX1,clustalo,mafft_parttree,unweighted,variance,O,0
COX1,clustalo,mafft_parttree,unweighted,variance,S,0
COX1,clustalo,mafft_parttree,unweighted,variance,W,0
COX1,clustalo,mafft_parttree,unweighted,variance,X,0
COX1,clustalo,mafft_parttree,unweighted,variance,Y,0
COX1,clustalo,mafft_parttree,unweighted,variance,R0,0
COX1,clustalo,mafft_parttree,unweighted,variance,B6,0
COX1,clustalo,mafft_parttree,unweighted,variance,F,0
COX1,clustalo,mafft_parttree,unweighted,variance,J,0
COX1,clustalo,mafft_parttree,unweighted,variance,P,0
COX1,clustalo,mafft_parttree,unweighted,variance,K,0
COX1,clustalo,mafft_parttree,unweighted,variance,B,0
COX1,clustalo,mafft_parttree,unweighted,variance,HV,0
COX1,clustalo,mafft_parttree,unweighted,variance,T,0
COX1,clustalo,mafft_parttree,unweighted,variance,R,0
COX1,clustalo,mafft_parttree,unweighted,variance,H,0
COX1,clustalo,mafft_parttree,unweighted,variance,V,0
COX1,clustalo,mafft_parttree,unweighted,variance,U,0
COX1,clustalo,mafft_parttree,weighted,entropy,L0,0
COX1,clustalo,mafft_parttree,weighted,entropy,L1,0
COX1,clustalo,mafft_parttree,weighted,entropy,L2,0
COX1,clustalo,mafft_parttree,weighted,entropy,L3,0
COX1,clustalo,mafft_parttree,weighted,entropy,L4,0
COX1,clustalo,mafft_parttree,weighted,entropy,L5,0
COX1,clustalo,mafft_parttree,weighted,entropy,L6,0
COX1,clustalo,mafft_parttree,weighted,entropy,M,0
COX1,clustalo,mafft_parttree,weighted,entropy,C,0
COX1,clustalo,mafft_parttree,weighted,entropy,E,0
COX1,clustalo,mafft_parttree,weighted,entropy,G,0
COX1,clustalo,mafft_parttree,weighted,entropy,Q,0
COX1,clustalo,mafft_parttree,weighted,entropy,Z,0
COX1,clustalo,mafft_parttree,weighted,entropy,D,0
COX1,clustalo,mafft_parttree,weighted,entropy,N,0
COX1,clustalo,mafft_parttree,weighted,entropy,A,0
COX1,clustalo,mafft_parttree,weighted,entropy,I,0
COX1,clustalo,mafft_parttree,weighted,entropy,O,0
COX1,clustalo,mafft_parttree,weighted,entropy,S,0
COX1,clustalo,mafft_parttree,weighted,entropy,W,0
COX1,clustalo,mafft_parttree,weighted,entropy,X,0
COX1,clustalo,mafft_parttree,weighted,entropy,Y,0
COX1,clustalo,mafft_parttree,weighted,entropy,R0,0
COX1,clustalo,mafft_parttree,weighted,entropy,B6,0
COX1,clustalo,mafft_parttree,weighted,entropy,F,0
COX1,clustalo,mafft_parttree,weighted,entropy,J,0
COX1,clustalo,mafft_parttree,weighted,entropy,P,0
COX1,clustalo,mafft_parttree,weighted,entropy,K,0
COX1,clustalo,mafft_parttree,weighted,entropy,B,0
COX1,clustalo,mafft_parttree,weighted,entropy,HV,0
COX1,clustalo,mafft_parttree,weighted,entropy,T,0
COX1,clustalo,mafft_parttree,weighted,entropy,R,0
COX1,clustalo,mafft_parttree,weighted,entropy,H,0
COX1,clustalo,mafft_parttree,weighted,entropy,V,0
COX1,clustalo,mafft_parttree,weighted,entropy,U,0
COX1,clustalo,mafft_parttree,weighted,variance,L0,0
COX1,clustalo,mafft_parttree,weighted,variance,L1,0
COX1,clustalo,mafft_parttree,weighted,variance,L2,0
COX1,clustalo,mafft_parttree,weighted,variance,L3,0
COX1,clustalo,mafft_parttree,weighted,variance,L4,0
COX1,clustalo,mafft_parttree,weighted,variance,L5,0
COX1,clustalo,mafft_parttree,weighted,variance,L6,0
COX1,clustalo,mafft_parttree,weighted,variance,M,0
COX1,clustalo,mafft_parttree,weighted,variance,C,0
COX1,clustalo,mafft_parttree,weighted,variance,E,0
COX1,clustalo,mafft_parttree,weighted,variance,G,0
COX1,clustalo,mafft_parttree,weighted,variance,Q,0
COX1,clustalo,mafft_parttree,weighted,variance,Z,0
COX1,clustalo,mafft_parttree,weighted,variance,D,0
COX1,clustalo,mafft_parttree,weighted,variance,N,0
COX1,clustalo,mafft_parttree,weighted,variance,A,0
COX1,clustalo,mafft_parttree,weighted,variance,I,0
COX1,clustalo,mafft_parttree,weighted,variance,O,0
COX1,clustalo,mafft_parttree,weighted,variance,S,0
COX1,clustalo,mafft_parttree,weighted,variance,W,0
COX1,clustalo,mafft_parttree,weighted,variance,X,0
COX1,clustalo,mafft_parttree,weighted,variance,Y,0
COX1,clustalo,mafft_parttree,weighted,variance,R0,0
COX1,clustalo,mafft_parttree,weighted,variance,B6,0
COX1,clustalo,mafft_parttree,weighted,variance,F,0
COX1,clustalo,mafft_parttree,weighted,variance,J,0
COX1,clustalo,mafft_parttree,weighted,variance,P,0
COX1,clustalo,mafft_parttree,weighted,variance,K,0
COX1,clustalo,mafft_parttree,weighted,variance,B,0
COX1,clustalo,mafft_parttree,weighted,variance,HV,0
COX1,clustalo,mafft_parttree,weighted,variance,T,0
COX1,clustalo,mafft_parttree,weighted,variance,R,0
COX1,clustalo,mafft_parttree,weighted,variance,H,0
COX1,clustalo,mafft_parttree,weighted,variance,V,0
COX1,clustalo,mafft_parttree,weighted,variance,U,0
COX1,clustalo,muscle_auto,unweighted,entropy,L0,0
COX1,clustalo,muscle_auto,unweighted,entropy,L1,0
COX1,clustalo,muscle_auto,unweighted,entropy,L2,0
COX1,clustalo,muscle_auto,unweighted,entropy,L3,0
COX1,clustalo,muscle_auto,unweighted,entropy,L4,0
COX1,clustalo,muscle_auto,unweighted,entropy,L5,0
COX1,clustalo,muscle_auto,unweighted,entropy,L6,0
COX1,clustalo,muscle_auto,unweighted,entropy,M,0
COX1,clustalo,muscle_auto,unweighted,entropy,C,0
COX1,clustalo,muscle_auto,unweighted,entropy,E,0
COX1,clustalo,muscle_auto,unweighted,entropy,G,0
COX1,clustalo,muscle_auto,unweighted,entropy,Q,0
COX1,clustalo,muscle_auto,unweighted,entropy,Z,0
COX1,clustalo,muscle_auto,unweighted,entropy,D,0
COX1,clustalo,muscle_auto,unweighted,entropy,N,0
COX1,clustalo,muscle_auto,unweighted,entropy,A,0
COX1,clustalo,muscle_auto,unweighted,entropy,I,0
COX1,clustalo,muscle_auto,unweighted,entropy,O,0
COX1,clustalo,muscle_auto,unweighted,entropy,S,0
COX1,clustalo,muscle_auto,unweighted,entropy,W,0
COX1,clustalo,muscle_auto,unweighted,entropy,X,0
COX1,clustalo,muscle_auto,unweighted,entropy,Y,0
COX1,clustalo,muscle_auto,unweighted,entropy,R0,0
COX1,clustalo,muscle_auto,unweighted,entropy,B6,0
COX1,clustalo,muscle_auto,unweighted,entropy,F,0
COX1,clustalo,muscle_auto,unweighted,entropy,J,0
COX1,clustalo,muscle_auto,unweighted,entropy,P,0
COX1,clustalo,muscle_auto,unweighted,entropy,K,0
COX1,clustalo,muscle_auto,unweighted,entropy,B,0
COX1,clustalo,muscle_auto,unweighted,entropy,HV,0
COX1,clustalo,muscle_auto,unweighted,entropy,T,0
COX1,clustalo,muscle_auto,unweighted,entropy,R,0
COX1,clustalo,muscle_auto,unweighted,entropy,H,0
COX1,clustalo,muscle_auto,unweighted,entropy,V,0
COX1,clustalo,muscle_auto,unweighted,entropy,U,0
COX1,clustalo,muscle_auto,unweighted,variance,L0,0
COX1,clustalo,muscle_auto,unweighted,variance,L1,0
COX1,clustalo,muscle_auto,unweighted,variance,L2,0
COX1,clustalo,muscle_auto,unweighted,variance,L3,0
COX1,clustalo,muscle_auto,unweighted,variance,L4,0
COX1,clustalo,muscle_auto,unweighted,variance,L5,0
COX1,clustalo,muscle_auto,unweighted,variance,L6,0
COX1,clustalo,muscle_auto,unweighted,variance,M,0
COX1,clustalo,muscle_auto,unweighted,variance,C,0
COX1,clustalo,muscle_auto,unweighted,variance,E,0
COX1,clustalo,muscle_auto,unweighted,variance,G,0
COX1,clustalo,muscle_auto,unweighted,variance,Q,0
COX1,clustalo,muscle_auto,unweighted,variance,Z,0
COX1,clustalo,muscle_auto,unweighted,variance,D,0
COX1,clustalo,muscle_auto,unweighted,variance,N,0
COX1,clustalo,muscle_auto,unweighted,variance,A,0
COX1,clustalo,muscle_auto,unweighted,variance,I,0
COX1,clustalo,muscle_auto,unweighted,variance,O,0
COX1,clustalo,muscle_auto,unweighted,variance,S,0
COX1,clustalo,muscle_auto,unweighted,variance,W,0
COX1,clustalo,muscle_auto,unweighted,variance,X,0
COX1,clustalo,muscle_auto,unweighted,variance,Y,0
COX1,clustalo,muscle_auto,unweighted,variance,R0,0
COX1,clustalo,muscle_auto,unweighted,variance,B6,0
COX1,clustalo,muscle_auto,unweighted,variance,F,0
COX1,clustalo,muscle_auto,unweighted,variance,J,0
